TimeStamp,elabsed_time,Usin1(V),eUsin1(V),Usin2(V),eUsin2(V),Isin1(A),eIsin1(A),Isin2(A),eIsin2(A)
2026-06-30_15:46:57,3.649691343307495,4.975036666666667,2.7644569488697043e-05,0.0,0.0,0.0008830060333333334,1.5869529357510517e-05,0.0,0.0
2026-06-30_15:47:02,8.287536859512329,4.975075,1.3880441875898535e-05,0.0,0.0,0.0008032506666666668,3.8367961528019105e-05,0.0,0.0
2026-06-30_15:47:07,12.92608380317688,4.974978,7.257180352557566e-06,0.0,0.0,0.0008681943000000001,1.933569351018992e-05,0.0,0.0
2026-06-30_15:47:11,17.56713604927063,4.974870666666667,2.494438257865636e-05,0.0,0.0,0.0008704730333333332,4.1800723844795924e-05,0.0,0.0
2026-06-30_15:47:16,22.20831060409546,4.974741,4.12148840426908e-05,0.0,0.0,0.0008716124,1.9535992925367254e-05,0.0,0.0
2026-06-30_15:47:21,26.846574306488037,4.974600333333334,2.2881336402486583e-05,0.0,0.0,0.0008681942333333333,2.012513729598439e-05,0.0,0.0
2026-06-30_15:47:25,31.48406219482422,4.974454,3.234192325768259e-05,0.0,0.0,0.0009126294,1.2789359113732018e-05,0.0,0.0
2026-06-30_15:47:30,36.12373089790344,4.97432,2.2686266036479212e-05,0.0,0.0,0.000841989,3.3295860475840916e-05,0.0,0.0
2026-06-30_15:47:35,40.763163328170776,4.9742283333333335,3.320977098508222e-05,0.0,0.0,0.0008761698666666667,2.3238552631110402e-05,0.0,0.0
2026-06-30_15:47:39,45.40536713600159,4.97413,7.257180352271999e-06,0.0,0.0,0.0009046539333333334,2.9579548114796388e-05,0.0,0.0
2026-06-30_15:47:44,50.0449059009552,4.974075333333333,3.0070288030042774e-05,0.0,0.0,0.0009012357333333332,8.05653896257915e-06,0.0,0.0
2026-06-30_15:47:49,54.682060956954956,4.973983666666666,1.8660713336240138e-05,0.0,0.0,0.0009160475333333334,7.383893636076367e-06,0.0,0.0
2026-06-30_15:47:53,59.322898626327515,4.973885666666667,7.408703590240928e-06,0.0,0.0,0.0008704729666666666,4.622495891415758e-05,0.0,0.0
2026-06-30_15:47:58,63.964181423187256,4.973814999999999,1.4142135624032944e-05,0.0,0.0,0.0009251623666666667,3.306115228092058e-05,0.0,0.0
2026-06-30_15:48:02,68.6053671836853,4.973734333333334,1.9189117286307326e-05,0.0,0.0,0.0009297198333333333,2.480572223087965e-05,0.0,0.0
2026-06-30_15:48:07,73.2465968132019,4.9737556666666665,3.55559027763339e-05,0.0,0.0,0.0009319985666666667,2.094687801230109e-05,0.0,0.0
2026-06-30_15:48:12,77.88526129722595,4.973733333333333,3.893869826079737e-05,0.0,0.0,0.0009080719999999999,2.8643133081537445e-05,0.0,0.0
2026-06-30_15:48:16,82.52681088447571,4.973592666666666,4.4462218667857424e-05,0.0,0.0,0.0008898421666666666,3.7477923419646535e-05,0.0,0.0
2026-06-30_15:48:21,87.16706132888794,4.973646666666666,2.043417616563658e-05,0.0,0.0,0.0008716123666666667,3.9567244296289086e-05,0.0,0.0
2026-06-30_15:48:26,91.80799770355225,4.973625333333334,2.215601247692588e-05,0.0,0.0,0.0008978177000000001,1.85824139617722e-05,0.0,0.0
2026-06-30_15:48:30,96.44918775558472,4.973617333333334,3.805551500410678e-05,0.0,0.0,0.0009251624,1.2584676932153107e-05,0.0,0.0
2026-06-30_15:48:35,101.0878074169159,4.973565,8.28653526315475e-06,0.0,0.0,0.0008773091333333334,2.8643154296310002e-05,0.0,0.0
2026-06-30_15:48:40,105.72873902320862,4.973584,4.8145612468722325e-05,0.0,0.0,0.000883006,1.794273034295507e-05,0.0,0.0
None,None,None,None,None,None,None,None,None,End of Test
